ammonia,arsenic,barium,cadmium,copper,fluoride,bacteria,viruses,lead,nitrates,mercury,perchlorate,radium,selenium,uranium,aluminum:Log_aluminum,ammonia:Log_ammonia,arsenic:Log_arsenic,barium:Log_barium,cadmium:Log_cadmium,chloramine:Log_chloramine,chromium:Log_chromium,copper:Log_copper,fluoride:Log_fluoride,bacteria:Log_bacteria,viruses:Log_viruses,lead:Log_lead,nitrates:Log_nitrates,nitrites:Log_nitrites,mercury:Log_mercury,perchlorate:Log_perchlorate,radium:Log_radium,selenium:Log_selenium,silver:Log_silver,uranium:Log_uranium
21.96,0.2,0.84,0.044721359549995794,0.41231056256176607,0.58,0.140608,0.140608,0.011,18.4,0.009,4615421.140497203,1.3,0.08,0.08,0.06373373800959527,67.8393286614436,-0.3218875824868201,-0.14645684520161334,-0.13896286161592725,-0.29056659514304034,-0.08340605474210494,-0.3652982611660509,-0.31594176175616984,-0.2758418781873486,-0.2758418781873486,-0.04960846006802142,53.58725222891489,0.594176418736478,-0.042394776314813254,70823238.98147468,0.3410735438077384,-0.20205829154466046,-0.1914147438431968,-0.20205829154466046
19.26,0.1414213562373095,2.78,0.08944271909999159,1.0,0.09,0.7535710000000001,0.7535710000000001,0.103,4.37,0.006,5295727.298354484,1.97,0.03,0.05,0.1432444943352091,56.971665626685805,-0.276621799529602,2.8424135790130762,-0.21592875466608016,-0.3290993274035144,-0.21639938135997777,0.0,-0.21671510477866848,-0.2132093791194683,-0.2132093791194683,-0.23412170794750764,6.44471434979977,1.302267276522528,-0.030695974858524495,81990625.95887706,1.3357260792172974,-0.10519673691959945,-0.36711466825642475,-0.14978661367769955
23.98,0.2,3.05,0.08944271909999159,1.161895003862225,1.07,0.3429999999999999,0.3429999999999999,0.101,1.16,0.008,13825281.095680002,5.58,0.09,0.03,0.43898770660692166,76.18973918739285,-0.3218875824868201,3.4011818513889267,-0.21592875466608016,-0.06642356875300133,-0.17918533112210938,0.17434501330207858,0.07239475386698191,-0.3670185173129556,-0.3670185173129556,-0.23155611097622866,0.17216720593719692,0.11583961700990958,-0.03862650989841841,227315402.25242302,9.593073372274166,-0.21671510477866848,-0.23345375363031248,-0.10519673691959945
18.82,0.22360679774997896,3.77,0.08944271909999159,0.8888194417315589,0.54,0.008000000000000002,7.289999999999998e-07,0.126,17.56,0.009,1660152.352474102,4.33,0.1,0.02,0.2624399391074661,55.23519692483914,-0.33493305030283593,5.003072755503895,-0.21592875466608016,0.512142207629051,-0.16712571586900576,-0.1047572964419288,-0.33274051528886117,-0.03862650989841841,-1.030193064449962e-05,-0.26100564487586303,50.3203502089144,1.0898824319814413,-0.042394776314813254,23777399.147747688,6.345907456922346,-0.23025850929940456,-0.3678783611782336,-0.07824046010856292
2.41,0.17320508075688773,0.59,0.044721359549995794,1.2409673645990857,0.62,0.012167,1e-09,0.017,1.99,0.007,173109.52830965762,0.98,0.01,0.03,-0.08955366032192312,2.1199004614811785,-0.30367682189200496,-0.31130331782859944,-0.13896286161592725,0.15132107936572795,-0.07977975215879655,0.2679139436959124,-0.29638219658465986,-0.053644642583121425,-2.072326583694641e-08,-0.06926721289374066,1.369387931085438,0.08311792442701867,-0.034732915909487766,2087991.6981629443,-0.019798653171169075,-0.04605170185988091,-0.1955297129324925,-0.10519673691959945
15.84,0.1414213562373095,0.06,0.03162277660168379,1.0392304845413265,1.43,0.7049690000000001,0.7049690000000001,0.08,1.91,0.008,0.00018895679999999997,6.89,0.06,0.08,0.31913191488980225,43.758608040358666,-0.276621799529602,-0.1688046430056022,-0.109221201003177,0.4648884374775592,-0.1955297129324925,0.039990130035351915,0.5114744553086967,-0.24645818373642564,-0.24645818373642564,-0.20205829154466046,1.2359671923318083,0.2187858681527455,-0.03862650989841841,-0.0016201141180864026,13.298189775826156,-0.1688046430056022,-0.34849891711171394,-0.20205829154466046
17.03,0.1414213562373095,0.88,0.09486832980505137,1.0723805294763609,0.34,0.6141249999999999,0.6141249999999999,0.065,17.86,0.003,2747948.882239999,1.14,0.1,0.01,0.1733906313803237,48.27964970430839,-0.276621799529602,-0.1124933669286987,-0.22344009008028248,0.6184567911365773,-0.040794461680363575,0.0749389928824587,-0.3667952848664562,-0.2994208127334631,-0.2994208127334631,-0.1776689205906225,51.48258545750759,0.6506596351686464,-0.017427428970942082,40742094.0372073,0.14937221914330054,-0.23025850929940456,-0.224886561616778,-0.04605170185988091
18.99,0.03162277660168379,0.04,0.07745966692414834,1.0862780491200215,1.0,0.778688,0.778688,0.086,9.46,0.007,4912314.3582806885,3.05,0.03,0.08,-0.0714067338350942,55.90489884641145,-0.109221201003177,-0.128755032994728,-0.19814166570444489,0.41182974809371753,-0.31358945443361225,0.089897350665307,0.0,-0.19478477490459534,-0.19478477490459534,-0.21099308651466211,21.25730474378343,0.4844614831900083,-0.034732915909487766,75685283.6167984,3.4011818513889267,-0.10519673691959945,-0.3444011133790988,-0.20205829154466046
8.12,0.1414213562373095,0.97,0.08366600265340755,1.2288205727444508,1.46,0.19511199999999995,0.19511199999999995,0.061,8.96,0.004,663382.90976,1.74,0.03,0.06,0.02874474706317068,17.005960851889522,-0.276621799529602,-0.029545431260167315,-0.20756887390312748,0.31913191488980225,-0.12428046029321817,0.25320440858127224,0.5525171961515577,-0.3188484259643265,-0.3188484259643265,-0.17060976630333838,19.647221233802078,0.6081976621622466,-0.022085843671448984,8892719.314238448,0.9637600970140014,-0.10519673691959945,-0.3308947813930112,-0.1688046430056022
10.67,0.1414213562373095,0.55,0.03162277660168379,1.3304134695650072,0.43,0.5120000000000001,0.5120000000000001,0.114,12.69,0.008,49875747.397281386,0.9,0.02,0.06,-0.2015361549210112,25.260542816896773,-0.276621799529602,-0.32881035041559126,-0.109221201003177,0.3434608965070408,-0.34849891711171394,0.3798194398118931,-0.36290713022664745,-0.3427484948186261,-0.3427484948186261,-0.24755747868699116,32.2429332351067,0.19530703740353653,-0.03862650989841841,884049887.897008,-0.09482446409204366,-0.07824046010856292,-0.331496904366522,-0.1688046430056022
20.64,0.17320508075688773,2.6,0.08944271909999159,1.1090536506409416,1.44,0.17561600000000005,0.17561600000000005,0.012,9.42,0.004,62422573.61267741,3.22,0.07,0.08,0.3921451799100165,62.482046614259794,-0.30367682189200496,2.4843297570713347,-0.21592875466608016,0.5882471156551238,-0.13961961861129477,0.11479491014504449,0.5250860835665893,-0.30547621458702207,-0.30547621458702207,-0.05307418355032965,21.12750653450152,0.9637600970140014,-0.022085843671448984,1120450085.1814358,3.765407977771341,-0.18614820258529446,-0.3225990279446329,-0.20205829154466046
22.07,0.17320508075688773,0.46,0.03162277660168379,1.02469507659596,1.0,0.015625,3.4300000000000004e-07,0.109,1.92,0.001,94946969.84223998,0.49,0.04,0.05,0.304138182657645,68.28941819132899,-0.30367682189200496,-0.35720324316953833,-0.109221201003177,0.5871002162199057,-0.0943718169741012,0.024997520505362882,0.0,-0.06498254817749487,-5.105738638694702e-06,-0.24158840624607628,1.252464357196205,0.07239475386698191,-0.006907755278982137,1744064660.840287,-0.3495414450599577,-0.128755032994728,-0.1955297129324925,-0.14978661367769955
6.81,0.1,0.85,0.07745966692414834,1.044030650891055,1.35,0.004096000000000001,8e-09,0.031,16.99,0.007,179659583.80969968,1.15,0.08,0.08,0.1350058344338763,13.064250338299276,-0.23025850929940456,-0.1381410900731087,-0.19814166570444489,0.22576530214929033,-0.2909468858633444,0.044986078149418796,0.40514119980795654,-0.02251876102653924,-1.4915059436213262e-07,-0.10768681030940672,48.126297657268445,0.9020680268056896,-0.034732915909487766,3414713249.4455833,0.1607262337314324,-0.20205829154466046,-0.2864321076993607,-0.20205829154466046
15.14,0.17320508075688773,1.76,0.08366600265340755,1.2529964086141667,0.26,0.32850899999999994,0.32850899999999994,0.182,1.49,0.008,9591104.826945346,2.39,0.01,0.05,0.39931437125924296,41.14053135486085,-0.30367682189200496,0.9949523039281064,-0.20756887390312748,0.5522848241192282,-0.1357597685857916,0.2825980655358812,-0.35023914847131843,-0.36569327673006247,-0.36569327673006247,-0.3100822437267722,0.594176418736478,1.0739215899526993,-0.03862650989841841,154189925.9196502,2.0823911446047725,-0.04605170185988091,-0.31358945443361225,-0.14978661367769955
25.84,0.1,3.04,0.044721359549995794,0.6782329983125268,1.41,0.0005120000000000001,2.16e-07,0.049,9.64,0.006,65407086.10625101,4.55,0.03,0.0,0.41182974809371753,84.02970786314813,-0.23025850929940456,3.380046846871116,-0.13896286161592725,0.2508888888967555,-0.0980565717601392,-0.26333372458895066,0.4844614831900083,-0.0038795191976574808,-3.3151652847206454e-06,-0.14778081406270402,21.84347948712046,0.5114744553086967,-0.030695974858524495,1177075154.4851153,6.893828909981009,-0.10519673691959945,-0.3181035598050743,0.0
22.8,0.03162277660168379,2.01,0.044721359549995794,1.2369316876852983,0.87,0.002197,5.12e-07,0.079,8.64,0.007,9027304.014028829,7.77,0.06,0.05,0.11655798033327198,71.29014021989701,-0.109221201003177,1.4032507913626782,-0.13896286161592725,0.5043072517209385,-0.07616765640950082,0.2630135688359002,-0.12115799858015167,-0.013447095480818523,-7.416289900496335e-06,-0.20052628669469413,18.63131831552993,0.20700443547689118,-0.034732915909487766,144579173.5518641,15.93059917722915,-0.1688046430056022,-0.3524393771005639,-0.14978661367769955
6.1,0.22360679774997896,3.74,0.08944271909999159,1.014889156509222,0.51,0.456533,0.456533,0.012,1.11,0.008,3464324.1239314433,2.21,0.02,0.04,0.14188285988248361,11.03056150419352,-0.33493305030283593,4.9333801867348885,-0.21592875466608016,0.25931772557219035,-0.17514682240257626,0.01499945393717196,-0.3434057221645205,-0.3579649195937204,-0.3579649195937204,-0.05307418355032965,0.11583961700990958,0.6792951429432907,-0.03862650989841841,52165890.05261402,1.7525134593205518,-0.07824046010856292,-0.1914147438431968,-0.128755032994728
26.19,0.2,3.02,0.07745966692414834,1.2489995996796797,0.91,0.054872000000000004,1.2500000000000002e-07,0.013,11.0,0.006,569267.3381400576,6.16,0.05,0.08,0.24338658488169512,85.52024087662886,-0.3218875824868201,3.3378756307880706,-0.19814166570444489,0.36584527523151017,-0.32706710304528097,0.27770620636938764,-0.08582271831882958,-0.15927981206709693,-1.9868690124555142e-06,-0.05645647697976781,26.376848000782076,0.0,-0.030695974858524495,7543990.78933609,11.19935294967984,-0.14978661367769955,-0.3678783611782336,-0.20205829154466046
29.29,0.03162277660168379,2.93,0.08366600265340755,1.044030650891055,0.0,0.5120000000000001,0.5120000000000001,0.091,17.33,0.001,148553357.01032212,3.76,0.09,0.0,-0.36667025453220836,98.9195400509931,-0.109221201003177,3.1497570994749,-0.20756887390312748,0.6168153153808454,-0.11294762207566766,0.044986078149418796,0.0,-0.3427484948186261,-0.3427484948186261,-0.21811751529434112,49.432769667597825,1.1542722671687047,-0.006907755278982137,2795247521.3543577,4.979815279830779,-0.21671510477866848,-0.26849876250067717,0.0
4.07,0.22360679774997896,1.87,0.07071067811865475,0.9486832980505138,0.55,0.026999999999999996,8e-09,0.135,5.23,0.004,64961170.90260923,6.15,0.04,0.04,0.405608085749742,5.71282700777983,-0.33493305030283593,1.1705048657203465,-0.18732380693822834,0.41028097535575375,-0.2596261651742767,-0.04997688073928475,-0.32881035041559126,-0.09752179715040081,-1.4915059436213262e-07,-0.27033486757340053,8.65257098434183,0.5114744553086967,-0.022085843671448984,1168606009.8186886,11.171180303183325,-0.128755032994728,-0.331496904366522,-0.128755032994728
23.19,0.17320508075688773,2.69,0.07745966692414834,1.3601470508735443,1.24,0.421875,0.421875,0.124,1.91,0.008,9457099.481815143,3.19,0.08,0.06,0.32372652542788644,72.90289349789195,-0.30367682189200496,2.661865810820981,-0.19814166570444489,0.43972346328136225,-0.08340605474210494,0.4183714663741688,0.2667381107250124,-0.36409762294678527,-0.36409762294678527,-0.25884674045876044,1.2359671923318083,0.0,-0.03862650989841841,151902544.73473185,3.7004667245816427,-0.20205829154466046,-0.23776723111001827,-0.1688046430056022
26.85,0.1414213562373095,0.88,0.06324555320336758,0.9539392014169457,0.42,0.085184,2.16e-07,0.107,13.24,0.009,0.2073071593,0.5,0.04,0.0,0.3945455324389645,88.34363729263836,-0.276621799529602,-0.1124933669286987,-0.17460392512048578,-0.08163573865679416,-0.13961961861129477,-0.044983327129942734,-0.3643502384359837,-0.20980322204254923,-3.3151652847206454e-06,-0.23913712956366473,34.20213136873734,0.20700443547689118,-0.042394776314813254,-0.3262089525695269,-0.34657359027997264,-0.128755032994728,-0.24645328617398155,0.0
13.08,0.2,1.58,0.044721359549995794,1.3711309200802089,0.4,0.002197,6.4e-08,0.085,11.96,0.008,212767335.58542994,4.7,0.1,0.05,0.22125139775215003,33.62978324606001,-0.3218875824868201,0.7227312583214233,-0.13896286161592725,0.25931772557219035,-0.044272799297044155,0.4327781261009224,-0.366516292749662,-0.013447095480818523,-1.0601204962295513e-06,-0.20953384191180477,29.67955027232893,0.40514119980795654,-0.03862650989841841,4079964683.2673273,7.273543790965261,-0.23025850929940456,-0.3669732716777261,-0.14978661367769955
19.9,0.17320508075688773,2.67,0.07745966692414834,0.282842712474619,0.34,0.017576,2.7e-08,0.146,7.96,0.006,358420703.916487,2.41,0.09,0.05,0.20154368786779378,59.51532266143589,-0.30367682189200496,2.622149521340462,-0.19814166570444489,0.39053896319066694,-0.2864321076993607,-0.3571919703654946,-0.3667952848664562,-0.07102849930998338,-4.705405822154362e-07,-0.28092570396197486,16.512454838856083,0.6937098811678554,-0.030695974858524495,7059890742.556017,2.1199004614811785,-0.21671510477866848,-0.34849891711171394,-0.14978661367769955
9.49,0.22360679774997896,3.63,0.07745966692414834,0.469041575982343,0.68,0.250047,0.250047,0.162,11.4,0.005,140956783.2076878,6.14,0.09,0.06,0.11945204177336216,21.354764433781227,-0.33493305030283593,4.679914513244636,-0.19814166570444489,0.1895269504847645,-0.03387543467845826,-0.35509442897562077,-0.2622504869521496,-0.3465917416972221,-0.3465917416972221,-0.29486574888746,27.743192251565127,1.1058982193415932,-0.026491586832740183,2644907991.468811,11.143023916856572,-0.21671510477866848,-0.20799210208408705,-0.1688046430056022
22.32,0.1,0.55,0.06324555320336758,0.5385164807134504,0.51,0.636056,0.636056,0.048,1.79,0.005,155935650.55367464,5.45,0.07,0.07,0.31728220934126516,69.31438362929262,-0.23025850929940456,-0.32881035041559126,-0.17460392512048578,0.20859931896898792,-0.24210047187178477,-0.3333078708797099,-0.3434057221645205,-0.287795411859061,-0.287795411859061,-0.1457546048675638,1.042165959536268,0.8715735729374814,-0.026491586832740183,2941718872.107617,9.241105067279584,-0.18614820258529446,-0.3669732716777261,-0.18614820258529446
1.07,0.2,1.86,0.05477225575051661,1.3856406460551018,1.2,0.032768000000000005,2.7e-08,0.082,18.91,0.008,7320824.8217600025,0.37,0.02,0.08,0.30981401762511734,0.07239475386698191,-0.3218875824868201,1.1542722671687047,-0.1590899327784004,0.2634761015748999,-0.05478474247966666,0.4519441461110254,0.2187858681527455,-0.11201094777454904,-4.705405822154362e-07,-0.20508495460086648,55.589554591296626,0.9482500367217596,-0.03862650989841841,115714666.98573937,-0.36787334113723075,-0.07824046010856292,-0.19966417734399255,-0.20205829154466046
28.19,0.03162277660168379,0.25,0.03162277660168379,1.1357816691600546,1.04,0.11764899999999999,1e-09,0.079,15.05,0.005,7445750.687255756,3.39,0.01,0.03,0.28670619021182997,94.12548833150254,-0.109221201003177,-0.34657359027997264,-0.109221201003177,0.3291852341654911,-0.11294762207566766,0.14460898191148225,0.04078954167941259,-0.2517747028766875,-2.072326583694641e-08,-0.20052628669469413,40.80623876748302,0.09393368890274714,-0.026491586832740183,117815260.1429296,4.1386134335200975,-0.04605170185988091,-0.31358945443361225,-0.10519673691959945
13.74,0.1414213562373095,0.52,0.08366600265340755,1.0677078252031311,0.36,0.002197,5.12e-07,0.071,18.7,0.004,93867493.0338389,2.18,0.04,0.02,-0.19327966373472003,36.00307708055235,-0.276621799529602,-0.3400417630514653,-0.20756887390312748,0.27270102402974916,-0.3524393771005639,0.06994995054704345,-0.3677944491115133,-0.013447095480818523,-7.416289900496335e-06,-0.18780035353779834,54.763389896192116,0.2789294391427622,-0.022085843671448984,1723162618.8559277,1.698928231426175,-0.128755032994728,-0.3308947813930112,-0.07824046010856292
0.14,0.1414213562373095,0.06,0.05477225575051661,1.307669683062202,1.42,0.019683000000000003,8e-09,0.103,16.16,0.006,1522952.3221658617,2.3,0.07,0.0,0.08950311905540762,-0.2752557998921966,-0.276621799529602,-0.1688046430056022,-0.1590899327784004,0.49369640967670203,-0.040794461680363575,0.35077805789287925,0.49793275769070044,-0.07731482321172119,-1.4915059436213262e-07,-0.23412170794750764,44.96583109798206,0.2789294391427622,-0.030695974858524495,21680994.950430214,1.9156909827507387,-0.18614820258529446,0.0,0.0
28.84,0.1,2.16,0.03162277660168379,1.2609520212918492,1.04,0.0005120000000000001,3.4300000000000004e-07,0.141,6.48,0.006,177661610.0962124,2.67,0.05,0.08,0.017535177860304167,96.95325393009902,-0.23025850929940456,1.6634337588635193,-0.109221201003177,0.04840899608124084,-0.05126780086575926,0.29237317255485223,0.04078954167941259,-0.0038795191976574808,-5.105738638694702e-06,-0.27621834979315957,12.109308907159908,0.5114744553086967,-0.030695974858524495,3374751790.6952653,2.622149521340462,-0.14978661367769955,-0.24645328617398155,-0.20205829154466046
10.83,0.1,3.94,0.08944271909999159,0.5477225575051661,0.52,0.054872000000000004,8e-09,0.131,8.21,0.005,161018110.4784898,4.27,0.06,0.05,-0.012222881799657258,25.800526260769697,-0.23025850929940456,5.40245204984078,-0.21592875466608016,0.471183577171347,-0.0980565717601392,-0.3297215317760343,-0.3400417630514653,-0.15927981206709693,-1.4915059436213262e-07,-0.26626509220730915,17.284947501642208,0.31598089975235305,-0.026491586832740183,3042763646.2630343,6.198391042317075,-0.1688046430056022,-0.2909468858633444,-0.14978661367769955
9.02,0.2,3.98,0.044721359549995794,0.7348469228349535,0.14,0.019683000000000003,6.4e-08,0.069,8.43,0.007,4912314.3582806885,2.91,0.08,0.09,0.24013373013073452,19.83898789335228,-0.3218875824868201,5.497501640799459,-0.13896286161592725,-0.22370569785418898,-0.3596281358897175,-0.22640124422457075,-0.2752557998921966,-0.07731482321172119,-1.0601204962295513e-06,-0.18448176543255657,17.97104678807603,1.1219686517824454,-0.034732915909487766,75685283.6167984,3.1083254662436977,-0.20205829154466046,-0.2121857796051634,-0.21671510477866848
0.44,0.03162277660168379,2.5,0.08366600265340755,1.3379088160259651,0.89,0.30076300000000006,0.30076300000000006,0.136,14.27,0.006,1415685.8601108491,4.12,0.09,0.01,-0.18926526783492092,-0.3612314429107253,-0.109221201003177,2.2907268296853878,-0.20756887390312748,0.5198753695149624,-0.24645328617398155,0.3894757053144502,-0.10371509646779685,-0.3613465030873536,-0.3613465030873536,-0.27133365348146754,37.93193508734439,0.9482500367217596,-0.030695974858524495,20050535.342225082,5.833315033049113,-0.21671510477866848,-0.21639938135997777,-0.04605170185988091
23.16,0.03162277660168379,3.5,0.044721359549995794,0.7348469228349535,1.33,0.00012500000000000003,1e-09,0.166,11.59,0.006,17302764.17979343,0.92,0.07,0.08,-0.21907718715838434,72.77860127664304,-0.109221201003177,4.384670389733788,-0.13896286161592725,-0.0714067338350942,-0.1955297129324925,-0.22640124422457075,0.3792879931707711,-0.001123399602582747,-2.072326583694641e-08,-0.2980974034438486,28.397153398705743,0.2187858681527455,-0.030695974858524495,288374387.9498361,-0.07671108022392693,-0.18614820258529446,-0.3632508383850034,-0.20205829154466046
20.81,0.2,2.8,0.06324555320336758,0.6633249580710799,1.2,0.456533,0.456533,0.112,10.09,0.001,161051.0,1.53,0.01,0.06,0.22576530214929033,63.16737405683935,-0.3218875824868201,2.8829343681072426,-0.17460392512048578,0.6140702048435798,-0.061858217878852234,-0.2722884451394461,0.2187858681527455,-0.3579649195937204,-0.3579649195937204,-0.24519671766094878,23.323487378748073,0.3921772827101789,-0.006907755278982137,1930917.157897252,0.6506596351686464,-0.04605170185988091,-0.28192824439349906,-0.1688046430056022
18.64,0.2,1.31,0.05477225575051661,1.40356688476182,0.59,0.0058319999999999995,3.4300000000000004e-07,0.169,5.03,0.004,84477208.70492944,7.12,0.07,0.01,-0.029268262632986874,54.52777484455878,-0.3218875824868201,0.35373554974910887,-0.1590899327784004,0.47741059537037533,-0.3669732716777261,0.4758327136807466,-0.31130331782859944,-0.030002113297896347,-5.105738638694702e-06,-0.3004577593259818,8.125562520081589,1.1219686517824454,-0.022085843671448984,1541877365.889448,13.975903005018058,-0.18614820258529446,-0.27743710973613656,-0.04605170185988091
10.15,0.2,1.98,0.03162277660168379,1.407124727947029,0.66,0.00021599999999999996,5.12e-07,0.101,7.22,0.009,3802.0403200000005,5.63,0.04,0.01,0.3921451799100165,23.522358110701134,-0.3218875824868201,1.3525317525187588,-0.109221201003177,0.6287572426313542,-0.2596261651742767,0.4806012308845144,-0.27424019301469943,-0.0018230901444605035,-7.416289900496335e-06,-0.23155611097622866,14.272892759972185,0.8867912139001197,-0.042394776314813254,31341.33284199505,9.729256159313502,-0.128755032994728,-0.34849891711171394,-0.04605170185988091
8.63,0.2,1.07,0.08944271909999159,0.806225774829855,0.9,0.19511199999999995,0.19511199999999995,0.093,10.16,0.003,110950.35864891014,5.8,0.05,0.05,-0.2145515357101314,18.599760078972757,-0.3218875824868201,0.07239475386698191,-0.21592875466608016,0.5249758549665103,-0.18731912716634766,-0.17365414515505162,-0.09482446409204366,-0.3188484259643265,-0.3188484259643265,-0.22088948808208592,23.555537772247416,0.23065063512646614,-0.017427428970942082,1288892.3603163003,10.195575921803767,-0.14978661367769955,-0.2954703866268155,-0.14978661367769955
